index,valor,unidade_da_federacao_codigo,unidade_da_federacao,periodo,tipo_de_projeto,padrao_de_acabamento
1,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",Alto
2,2009.92,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",Normal
3,1413.3,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",Baixo
4,1215.72,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",Mínimo
5,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",Alto
6,2254.8,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",Normal
7,1581.98,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",Baixo
8,1362.58,11,Rondônia,2025-01-01 00:00:00+00:00," Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",Mínimo
9,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",Alto
10,2236.13,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",Normal
11,1615.48,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",Baixo
12,1412.19,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",Mínimo
13,2398.7,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",Alto
14,1911.39,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",Normal
15,1338.29,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",Baixo
16,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada",Mínimo
17,2281.19,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",Alto
18,1821.15,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",Normal
19,1259.13,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",Baixo
20,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada",Mínimo
21,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",Alto
22,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",Normal
23,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",Baixo
24,2653.91,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, somente unidade sanitária",Mínimo
25,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",Alto
26,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",Normal
27,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",Baixo
28,3312.55,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""B"", 1 pavimento, somente unidade sanitária",Mínimo
29,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",Alto
30,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",Normal
31,1991.83,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",Baixo
32,1775.78,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro",Mínimo
33,0.0,11,Rondônia,2025-01-01 00:00:00+00:00," Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro",Alto
