,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Variável (Código),Variável,Mês (Código),Mês,Tipo de projeto (Código),Tipo de projeto,Padrão de acabamento (Código),Padrão de acabamento
1,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",786,Alto
2,3,Unidade da Federação,38,Reais,2009.92,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",787,Normal
3,3,Unidade da Federação,38,Reais,1413.30,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",788,Baixo
4,3,Unidade da Federação,38,Reais,1215.72,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7087,"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha",789,Mínimo
5,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",786,Alto
6,3,Unidade da Federação,38,Reais,2254.80,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",787,Normal
7,3,Unidade da Federação,38,Reais,1581.98,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",788,Baixo
8,3,Unidade da Federação,38,Reais,1362.58,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7088,"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha",789,Mínimo
9,3,Unidade da Federação,38,Reais,-,11,Rondônia,51,Custo de projeto m²,202501,janeiro 2025,7089,"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada",786,Alto
